skill_group_id,description_it
fd53a46b-929e-568a-bf90-61b7485f0ea1,"I programmi e le qualifiche di carattere generale sono quelli che forniscono una formazione sulle competenze fondamentali e personali, coprono un'ampia gamma di materie e non pongono l'accento né si specializzano in un particolare campo ampio o ristretto. Questo campo ampio non deve essere utilizzato come categoria residuale. I programmi e le qualifiche con un'enfasi su una materia specifica devono essere classificati nei campi ampi da 01 a 10. In particolare, l'istruzione di livello terziario deve essere classificata qui solo in via eccezionale."
a8fe2110-92f9-50a0-bd2a-a2b54793dd4e,"I programmi e le qualifiche di base sono concepiti per fornire ai partecipanti le competenze fondamentali di lettura, scrittura e aritmetica, insieme a una comprensione elementare di altre materie quali storia, geografia, scienze naturali, scienze sociali, arte e musica e, in alcuni casi, istruzione religiosa. Questi programmi e qualifiche sono normalmente offerti a livello primario e secondario inferiore. Sono classificati qui anche i programmi ampi e non specializzati di livello secondario superiore, anche in presenza di una certa concentrazione, ad esempio, su discipline umanistiche, scienze sociali, scienze naturali ecc. I programmi e le qualifiche professionali sono inclusi qui solo in via eccezionale. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Programmi e qualifiche di base Programmi e qualifiche ampi e generici (non specializzati) Programmi e qualifiche generali senza enfasi su una materia specifica Programmi e qualifiche di livello primario  === Inclusioni Sono inclusi in questo campo di dettaglio i programmi e le qualifiche di base di livello secondario superiore (in alcuni paesi di livello secondario inferiore) con una certa enfasi, ad esempio, su discipline umanistiche, scienze sociali o scienze naturali, ma che coprono comunque altri campi del sapere. In alcuni paesi tali programmi o qualifiche sono offerti su base modulare e devono anch'essi essere classificati qui.  === Esclusioni I programmi considerati generali nel senso dell'orientamento del programma (non professionali) ma con una chiara enfasi su un campo di dettaglio, ristretto o ampio sono esclusi da questo campo di dettaglio e inclusi in uno dei campi ampi 01-10, a seconda della materia trattata."
5ba948f5-ec0b-5425-ba0e-4ef895405ee8,"L'alfabetizzazione e le competenze di calcolo sono programmi o qualifiche destinati principalmente agli adulti, concepiti per insegnare le competenze fondamentali di lettura, scrittura e aritmetica. La fascia di età tipica dei partecipanti può essere utilizzata per distinguere tra il campo di dettaglio 0011 'Programmi e qualifiche di base' e questo campo di dettaglio. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Programmi di recupero di base per giovani o adulti Alfabetizzazione Competenze di calcolo"
a848a210-d07d-51f0-9e24-10a88be987cb,"Le competenze personali sono definite con riferimento agli effetti sulla capacità dell'individuo (mentale, sociale ecc.). Questo campo di dettaglio copre i programmi sulle competenze personali non inclusi in 0011 'Programmi e qualifiche di base' o 0021 'Alfabetizzazione e competenze di calcolo', che forniscono competenze chiave e competenze trasferibili. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Argomentazione e presentazione Formazione all'assertività Competenze comunicative Cooperazione Sviluppo delle capacità comportamentali Sviluppo delle abilità mentali Programmi di ricerca di lavoro Corsi per genitori Parlare in pubblico Competenze di autostima Competenza sociale Gestione del tempo  === Inclusioni L'istruzione e la formazione alla leadership nel contesto dello sviluppo personale sono incluse qui. L'istruzione e la formazione relative al luogo di lavoro o alle mansioni lavorative sono incluse in questo campo di dettaglio se riguardano più lo sviluppo personale che lo sviluppo professionale. I corsi sulle competenze personali possono essere tenuti sul luogo di lavoro, ma essere comunque classificati qui in base al loro contenuto. Sono inclusi qui i programmi per persone con bisogni speciali su come affrontare la vita quotidiana  === Esclusioni Lo studio della leadership nel contesto del management è escluso da questo gruppo e incluso nel campo di dettaglio 0413 'Gestione e amministrazione'."
a8013993-8cc4-51fb-97dc-ea4cfffef2b5,"La scienza dell'educazione è lo studio del processo di apprendimento e delle teorie, dei metodi e delle tecniche per trasmettere conoscenze ad altri. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Studi curricolari Didattica Valutazione, testing e misurazione in ambito educativo Valutazione e ricerca educativa Scienze pedagogiche  === Esclusioni I programmi di formazione degli insegnanti che combinano la scienza dell'educazione con la pratica dell'insegnamento sono esclusi da questo campo di dettaglio e inclusi in uno dei campi di dettaglio per la formazione degli insegnanti (0112-0114)."
877d5b04-a602-5377-ad34-93f699536ce1,"La formazione degli insegnanti di scuola dell'infanzia è lo studio delle teorie, dei metodi e della pratica dell'insegnamento a bambini molto piccoli fino a 7 anni di età in contesti scolastici formali, a livello pre-primario o di sviluppo educativo della prima infanzia. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Insegnamento nella prima infanzia (in contesti scolastici formali) Formazione degli insegnanti pre-primari  === Esclusioni La formazione alla cura dei bambini al di fuori dei contesti scolastici formali è esclusa da questo campo di dettaglio e inclusa nel campo di dettaglio 0922 'Servizi di assistenza all'infanzia e alla gioventù'."
0684182e-b78c-5c7a-8d4f-793c0d1fdea8,"La formazione degli insegnanti senza specializzazione disciplinare è lo studio delle teorie, dei metodi e della pratica volti a fornire ai bambini tra circa 5 e 15 anni di età le competenze fondamentali di lettura, scrittura e matematica, insieme a una comprensione elementare di altre materie quali storia, geografia, scienze sociali ecc., ponendo le basi per l'apprendimento permanente. La specializzazione disciplinare è meno accentuata rispetto al campo di dettaglio 0114 'Formazione degli insegnanti con specializzazione disciplinare'. Lo studio dell'insegnamento a bambini con bisogni speciali è incluso in questo campo di dettaglio, così come lo studio dell'insegnamento agli adulti delle competenze fondamentali di lettura e scrittura e dell'insegnamento di questo tipo di competenze agli immigrati nella loro lingua d'origine o prima lingua. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Formazione dell'insegnante di classe Formazione degli insegnanti indigeni Insegnamento primario Formazione degli insegnanti per bambini con bisogni speciali  === Inclusioni Lo studio dell'insegnamento agli adulti delle competenze di base di alfabetizzazione e calcolo è incluso qui. È incluso qui anche l'assistente dell'insegnante (assistente didattico).  === Esclusioni La formazione degli insegnanti con specializzazione disciplinare, anche se destinata all'insegnamento a bambini nell'istruzione primaria o secondaria inferiore, è esclusa da questo campo di dettaglio e inclusa nel campo di dettaglio 0114 'Formazione degli insegnanti con specializzazione disciplinare'."
ce074c65-375c-5cab-9ed1-16148da5f642,"La formazione degli insegnanti con specializzazione disciplinare è lo studio delle teorie, dei metodi e della pratica dell'insegnamento di una materia specifica, per lo più a livelli di istruzione secondaria o superiore. I programmi e le qualifiche inclusi in questo campo di dettaglio comprendono spesso sia gli studi pedagogici sia la materia o le materie che si andranno a insegnare. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Formazione degli insegnanti - arti e mestieri Formazione degli insegnanti - materie commerciali Formazione degli insegnanti - musica Formazione degli insegnanti - infermieristica Formazione degli insegnanti - educazione fisica Formazione degli insegnanti - seconde lingue Formazione degli insegnanti - materie teoriche specifiche, ad es. inglese, matematica, storia Formazione degli insegnanti - materie tecniche Formazione degli insegnanti - materie professionali Formazione degli istruttori di guida Formazione dei formatori  === Inclusioni Sono inclusi qui i corsi di formazione per docenti universitari, per istruttori di competenze relative al luogo di lavoro e alla vita lavorativa e in materie pratiche e artistiche.  === Esclusioni La formazione degli allenatori sportivi è esclusa da questo campo di dettaglio e inclusa nel campo di dettaglio 1014 'Sport'."
e20bc16a-dfd2-5b3b-b5a8-4f63680125e5,Sono classificati qui i programmi e le qualifiche interdisciplinari in cui il maggior tempo di apprendimento previsto è dedicato all'istruzione.
3088a176-e639-5c39-aec4-6ceb7136ef57,"Le tecniche audiovisive e la produzione mediatica sono lo studio delle tecniche e delle competenze per produrre libri o giornali, produzioni radiofoniche o televisive, produzioni cinematografiche o video, produzioni di musica registrata e riproduzione grafica. Includono programmi e qualifiche nei metodi di riproduzione del colore, nella fotografia e nella computer grafica. È incluso anche lo studio della combinazione di immagini, parole e decorazioni nella produzione di libri, riviste, poster, pubblicità ecc. Sono classificati qui i programmi e le qualifiche con i seguenti contenuti principali: Animazione Rilegatura Operatore di ripresa Compositing (stampa) Produzione di videogiochi Composizione tipografica computerizzata Produzione cinematografica e video Graphic design Riproduzione grafica Illustrazione Progettazione di media interattivi Tecniche dei media Produzione multimediale Fotografia Operazioni di prestampa Finitura di stampa e rilegatura Stampa Progettazione editoriale, impaginazione Produzione radiotelevisiva Produzione di musica registrata Tecniche del suono Composizione tipografica  === Inclusioni Sono inclusi qui il desktop publishing e l'impaginazione.  === Esclusioni I programmi e le qualifiche nell'uso di specifiche applicazioni software per il desktop publishing e lo sviluppo di siti web sono esclusi da questo campo di dettaglio e inclusi nel campo di dettaglio 0611 'Uso del computer'. Lo studio del giornalismo (formulazione e contenuto dei messaggi) è escluso da questo campo di dettaglio e incluso nel campo di dettaglio 0321 'Giornalismo e reportage'."
