entity_table,entity_id,field,locale,text,source
sys_kpi_definitions,7789dc5b-e271-4728-9279-3ee97425b54d,name,en,AML alert resolution rate,LLM
sys_kpi_definitions,c21a28ca-9aae-49f0-92a9-bd4e5713e028,name,en,AUM growth rate,LLM
sys_kpi_definitions,b5013ad7-885b-414e-88ef-5b79e368041c,name,en,Average disbursement time,LLM
sys_kpi_definitions,93dda465-08fa-4e36-b4f5-a33943bac4b3,name,en,Default rate,LLM
sys_kpi_definitions,9a66d974-aa96-42f3-b62c-f5adf5efea8d,name,en,NPL ratio,LLM
sys_kpi_definitions,8b2a59e6-fbf3-4935-ae1a-bfd10562e2ad,name,en,Disbursed volume,LLM
sys_kpi_definitions,dd6429f9-87c6-49c4-8767-e522328c8015,name,en,Processing time,LLM
sys_kpi_definitions,afbe8314-ce3c-49cd-814f-e12c8804b459,name,en,Error rate,LLM
sys_kpi_definitions,7cc4e980-514a-4890-b47c-aec60d40aeb0,name,en,Transaction volume,LLM
sys_kpi_definitions,64d0e624-a3a4-4877-ac5e-241f67fb29ab,name,en,STR reports,LLM
sys_kpi_definitions,951d06ae-39cf-4ac9-b392-94d99a8b6bbc,name,en,Audit response time,LLM
sys_kpi_definitions,34098885-9a78-444d-87ef-8f2d7fc2f5d8,name,en,Compliance rate,LLM
sys_kpi_definitions,efd9b2ae-4410-477a-a877-e3e9ea9b42eb,name,en,Training completed,LLM
sys_kpi_definitions,8e8708f7-d76f-48e8-b56f-819c5c7b5738,name,en,Time-to-hire,LLM
sys_kpi_definitions,d8ecc957-4500-4037-8a4e-fcfbc8216b5e,name,en,Retention rate,LLM
sys_kpi_definitions,524a98cd-8aa5-4d24-b94e-347ac6147a07,name,en,Engagement score,LLM
sys_kpi_definitions,2269f0f6-7431-4646-a7d4-5e4180da3ce5,name,en,Days to close,LLM
sys_kpi_definitions,10e3e33f-67f1-4296-bb1a-1d4707938eab,name,en,Accuracy rate,LLM
sys_kpi_definitions,92ec0157-a4f2-40bd-bd40-0efce63002ee,name,en,Cost per transaction,LLM
sys_kpi_definitions,7ebb9bb3-bbc2-4e9f-83f3-6057dd5e0690,name,en,VaR,LLM
sys_kpi_definitions,f9e4c4a8-3315-455f-92fd-7f8530a8f6bf,name,en,Expected Loss,LLM
sys_kpi_definitions,4f808cce-0e6e-4922-bd22-7745f4c4f030,name,en,Risk-weighted assets,LLM
sys_kpi_definitions,20e2eb52-d904-4377-b0c4-05faed60efdb,name,en,Stress test coverage,LLM
